Entertainer,Profession,Gender (traditional),Birth Year,Year of Breakthrough/#1 Hit/Award Nomination,Breakthrough Name,Year of First Oscar/Grammy/Emmy,Year of Last Major Work (arguable),Year of Death,Oscar Won,Emmy Won,Grammy Won,Other Awards ,Total Awards won,Total Nominees
Adele,Singer,F,1988,2008,19,2009,2016,Unknown,1,0,15,16,32,64
Angelina Jolie,Actor,F,1975,1999,"Girl, Interrupted",1999,2016,Unknown,1,0,0,57,58,174
Aretha Franklin,Singer,F,1942,1967,I Never Loved a Man (The Way I Love You),1968,2014,Unknown,0,0,20,9,29,67
Bette Davis,Actor,F,1908,1934,Of Human Bondage,1935,1989,1989,2,1,0,31,34,57
Betty White,Actor,F,1922,1952,Life with Elilzabeth,1976,2016,Unknown,0,5,2,32,39,79
Bing Crosby,Singer,M,1903,1931,Several Songs,1962,1974,1977,1,0,1,16,18,27
Bob Hope,Actor,M,1903,1938,The Big Broadcast of 1938,1940,1972,2003,0,1,0,38,39,49
Carol Burnett,Actor,F,1933,1959,The Garry Moore Show,1962,2016,Unknown,0,6,1,42,49,99
Carole Lombard,Actor,F,1908,1934,Twentieth Century,Unknown,1942,1942,0,0,0,1,1,2
Carrie Fisher,Actor,F,1956,1977,Star Wars,Unknown,2016,2016,0,0,1,6,7,27
Cary Grant,Actor,M,1904,1933,"She Done Him Wrong, I'm No Angel",1970,1966,1986,0,0,0,12,12,34
Charlie Chaplin,Actor,M,1889,1915,The Tramp,1929,1967,1977,1,0,0,23,24,34
Clara Bow,Actor,F,1905,1926,Mantrap,Unknown,1933,1965,0,0,0,1,1,1
Clark Gable,Actor,M,1901,1934,It Happened One Night,1934,1960,1960,1,0,0,3,4,10
David Letterman,Actor,M,1947,1982,Late Night with David Letterman,1981,2015,Unknown,0,7,0,13,20,98
Debbie Reynolds,Actor,F,1932,1952,Singin' in the Rain,Unknown,2006,2016,0,0,0,20,20,57
Denzel Washington,Actor,M,1954,1989,Glory,1989,2016,Unknown,2,0,0,84,86,273
Dick Van Dyke,Actor,M,1925,1961,"Bye Bye Birdie, The Dick Van Dyke Show",1964,2015,Unknown,0,5,1,15,21,41
Donald Sutherland,Actor,M,1935,1967,The Dirty Dozen,1995,2016,Unknown,0,1,0,21,22,53
Dustin Hoffman,Actor,M,1937,1967,The Graduate,1980,2016,Unknown,2,2,0,59,63,117
Ed Sullivan,Actor,M,1901,1948,Toast of the Town,1956,1973,1974,0,0,0,3,3,3
Eddie Murphy,Actor,M,1961,1980,Saturday Night Live,2001,2016,Unknown,0,1,1,41,43,144
Elton John,Singer,M,1947,1972,Honky Chateau,1987,2016,Unknown,2,0,6,19,27,99
Elvis Presley,Singer,M,1935,1956,Heartbreak Hotel,1959,1977,1977,0,0,5,7,12,29
Frank Sinatra,Singer,M,1915,1940,I'll Never Smile Again,1946,1980,1998,1,0,12,21,34,76
Gene Hackman,Actor,M,1930,1967,Bonnie and Clyde,1971,2004,Unknown,2,0,0,31,33,72
George Michael,Singer,M,1963,1984,Wake Me Up Before You Go-Go,1988,2004,2016,0,0,2,4,6,23
Gregory Peck,Actor,M,1916,1944,The Keys of the Kingdom,1962,1991,2003,1,0,0,35,36,59
Greta Garbo,Actor,F,1905,1930,Anna Christie,1954,1941,1990,0,0,0,11,11,17
Humphrey Bogart,Actor,M,1899,1936,The Petrified Forest,1951,1956,1957,1,0,0,5,6,19
James Dean,Actor,M,1931,1953,East of Eden,1955,1955,1955,0,0,0,7,7,11
Jay Leno,Actor,M,1950,1992,The Tonight Show,1995,2014,Unknown,0,2,0,4,6,33
Jennifer Aniston,Actor,F,1969,1994,Friends,2002,2016,Unknown,0,1,0,42,43,135
Jerry Seinfeld,Actor,M,1954,1988,Seinfeld,1992,2016,Unknown,0,1,0,19,20,67
Jimmy Page,Singer,M,1944,1969,Led Zeppelin 2,1999,2016,Unknown,0,0,2,1,3,7
Jimmy Stewart,Actor,M,1908,1938,You Can't Take it With You,1941,1980,1997,1,0,0,30,31,53
Joan Crawford,Actor,F,1904,1928,Our Dancing Daughters,1946,1970,1977,1,0,0,11,12,20
John Lennon,Singer,M,1940,1963,I Want to Hold Your Hand,1965,1980,1980,1,0,8,13,22,55
John Wayne,Actor,M,1907,1939,Stagecoach,1970,1976,1979,1,0,0,26,27,45
Johnny Carson,Actor,M,1925,1962,The Tonight Show Starring Johnny Carson,1976,1992,2005,0,5,0,11,16,29
Johnny Depp,Actor,M,1963,1987,21 Jump Street,Unknown,2016,Unknown,0,0,0,73,73,232
Justin Timberlake,Singer,M,1981,2000,No Strings Attached,2004,2016,Unknown,0,4,10,41,55,185
Katherine Hepburn,Actor,F,1907,1933,Morning Glory,1933,1994,2003,4,1,0,23,28,65
Keifer Sutherland,Actor,M,1966,2001,24,2006,2016,Unknown,0,1,0,20,21,82
Kirk Douglas,Actor,M,1916,1949,Champion,1996,2004,Unknown,0,0,0,34,34,59
Lady Gaga,Singer,F,1986,2008,The Fame,2010,2016,Unknown,1,0,12,55,68,239
Leonard Bernstein,Singer,M,1918,1957,West Side Story,1962,1989,1990,0,7,17,31,55,82
Leonardo DiCaprio,Actor,M,1974,1997,Titanic,2016,2016,Unknown,1,0,0,100,101,355
Louis Armstrong,Singer,M,1901,1964,"Hello, Dolly!",1993,1970,1971,0,0,2,0,2,4
Madonna,Singer,F,1958,1984,Like A Virgin,1992,2015,Unknown,0,0,6,43,49,158
Mariah Carey,Singer,F,1969,1990,Mariah Carey,1991,2014,Unknown,0,0,6,69,75,208
Marlon Brando,Actor,M,1924,1951,Streetcar Named Desire,1953,2001,2004,2,1,0,31,34,70
Mary Tyler Moore,Actor,F,1936,1961,The Dick Van Dyke Show,1964,2013,Unknown,0,7,0,23,30,60
Meryl Streep,Actor,F,1949,1978,The Deer Hunter,1980,2016,Unknown,3,3,0,171,177,540
Mick Jagger,Singer,M,1943,1965,(I Can't Get No) Satisfaction,1987,2016,Unknown,0,0,0,10,10,15
Morgan Freeman,Actor,M,1937,1989,Driving Miss Daisy and Glory,2005,2016,Unknown,1,0,0,64,65,147
Oprah Winfrey,Actor,F,1954,1985,The Color Purple,1987,2016,Unknown,0,18,0,35,53,145
Paul McCartney,Singer,M,1942,1963,I Want to Hold Your Hand,1965,2016,Unknown,1,0,14,16,31,118
Paul Newman,Actor,M,1925,1958,Cat on a Hot Tin Roof,1986,2005,2008,1,1,0,36,38,108
Peter O'Toole,Actor,M,1932,1962,Lawrence of Arabia,2002,2013,2013,0,1,0,27,28,76
Prince,Singer,M,1958,1979,Prince,1984,2016,2016,1,0,7,18,26,100
Robert Redford,Actor,M,1936,1969,Butch Cassidy and the Sundance Kid,1980,2016,Unknown,1,0,0,42,43,98
Sidney Poitier,Actor,M,1927,1955,Blackboard Jungle,1964,2008,Unknown,1,0,1,26,28,69
Sly Stone,Singer,M,1943,1968,Everyday People,2017,1971,Unknown,0,0,1,0,1,1
Stevie Wonder,Singer,M,1950,1963,Fingertips,1973,2005,Unknown,1,0,24,12,37,99
Tom Hanks,Actor,M,1956,1984,Splash,1993,2016,Unknown,2,7,0,82,91,290
Tony Bennett,Singer,M,1926,1951,Because of You,1963,2016,Unknown,0,2,20,2,24,55
Wayne Newton,Actor,M,1942,1972,"Daddy, Don't You Walk So Fast",Unknown,2016,Unknown,0,0,0,1,1,4
Will Smith,Actor,M,1968,1990,The Fresh Prince of Bel-Air,1988,2016,Unknown,0,0,4,66,70,231
Willie Nelson,Singer,M,1933,1975,Red Headed Stranger,1976,2016,Unknown,0,0,15,9,24,50
